date,open,high,low,close,adj close,volume,tweets
2014-01-02,22.17,22.290001,21.91,22.0,19.618254,44377000,"['Weekly S&amp;P500 #Stocks Trend $BTU $DHI $JCP $MAT $JOY $OKE $ISRG $OMC $JNPR $DIS $CSCO $CTXS $SE $EMN $NBR $FLS @ http://t.co/RPeaHBZz9y', '2013 Wrap-Up And Trading Set Review - Part III http://t.co/7UbPGZRBGv $AAPL #APPLE $BP $CNW $CSCO $CSX $CVX $GOOG $HPQ $IBM $INTC $NGG', 'Weekly S&amp;P100 #Stocks Trend $DIS $CSCO $KO $TGT $BHI $AXP $HD $UTX $PM $MDLZ $BK $UNP $MON $TXN $ALL $FCX  @ http://t.co/n4QZIDxy7w', 'Dow #Stocks Trend $AXP $UTX $CSCO $KO $HD $DIS $V $IBM $DD $INTC $JPM $UNH $TRV $MRK $MMM $GE $GS $MSFT $CAT  @ http://t.co/TvzJfd0RGT', '$CSCO Cisco Systems: Undervalued With Strong Fundamentals, But Is It A Buy? http://t.co/TTU1bu0HKP', '$CSCO Cisco Systems: Undervalued With Strong Fundamentals, But Is It A Buy? http://t.co/YZuNjTUbz8', '$CSCO A Friendly Reminder: The Dow Looks Great Right Now http://t.co/awBQhftvDI']"
2014-01-03,22.09,22.120001,21.83,21.98,19.600422,36328200,['Weekly Dow #Stocks Trend $DIS $WMT $HD $GS $V $INTC $IBM $UTX $VZ $UNH $T $MSFT $AXP $JPM $MRK $CSCO $KO $CVX  @ http://t.co/TvzJfd0RGT']
2014-01-06,21.959999,22.23,21.93,22.01,19.627176,34150300,"['Rosner: $CSCO Overall Average: 16% Buy. $GTAT $MU $BBRY C http://t.co/Vl2PHxciCx', 'Identifying The Core Holdings In My Whistler Income And Growth Portfolio http://t.co/pPudZPkFfZ $AUY $BAX $BCE $BNS $BP $CNQ $CSCO $CVX', ""$CSCO Activist shareholders' top priorities for 2014 http://t.co/McUZsqWlpa"", 'My Dividend Portfolio: Adding Cisco http://t.co/mIcZqevkOu $JNPR $IGN $PXQ $CSCO']"
2014-01-07,22.26,22.41,22.15,22.309999,19.894693,37368800,"['Morning Meeting: Yellen Approved in a Close(ish) Vote $CSCO  $INTC ... http://t.co/z4VaKVFihc', '$CSCO - REMINDER: Media Advisory: Public Sector Organizations Discuss How the ... -&gt; http://t.co/AFWfLOSGnE #stock #stocks #stockaction', 'Cisco Systems, Inc. : MILITARY Cisco Catalyst Switches Sought by U.S. Navy $CSCO http://t.co/bU9GUxM9MV']"
2014-01-08,22.290001,22.360001,22.15,22.290001,19.876865,38362700,"['@kyles09 @PhilipEtienne well then the almost 10% gains in last month for $CSCO,$EMC, $HPQ, $IBM &amp; $INTC should offer good entry for short', 'My Dividend Portfolio: Adding Cisco http://t.co/C8t7TnD5ot $JNPR $IGN $PXQ $CSCO']"
2014-01-09,22.290001,22.309999,21.92,22.09,19.698511,31794000,"['as well as $WFM, $CSCO $GLD $DUST VXX']"
2014-01-10,22.23,22.280001,21.99,22.219999,19.81444,30318600,[]
2014-01-13,22.389999,22.82,22.139999,22.190001,19.787687,59600000,"['Bullish $CSCO view probably lifts $CAVM tomorrow @barronsonline Cisco Battles Back http://t.co/LyYwWpxycy”', '$CSCO - Why Barrons Is Right About Cisco -&gt; http://t.co/ecRP0X3H3s #stock #stocks #stockaction', 'Correction Protection: Better Metric Finds Value http://t.co/fXP33Rt8Bn $GOOG #GOOGLE $CSCO $MSFT $INTC $ORCL $FB $XOM $CVX $SNY $MRK']"
2014-01-14,22.33,22.52,22.200001,22.41,19.983873,44300800,"['$CSCO News Alert:  http://t.co/ZYCjtTn2Bs  Updated options view: http://t.co/4WR0pcKAkZ  All options views: http://t.co/pd0CNSWmuL', 'Goldman, Blackrock, Morgan all INCREASE their $MERU holdings in latest 13D. 802.11ac accelerating $RKUS $ARUN $CSCO http://t.co/7Sni4VK7Ri …', 'Cisco: Unloved, Undervalued, Misunderstood And Loads Of Income Stream Potential http://t.co/vtXr4eYp56 $CSCO']"
2014-01-15,22.5,23.0,22.42,22.780001,20.313816,61767800,"['Cisco: 3 Positives In A Sea Of Bad Sentiment http://t.co/LNZDgjqBNZ $CSCO', 'RT @barronstechblog: Ubiquiti: Street Likes Ingram Deal; JMP Dismisses Block Trade Concern - Tech Trader Daily - $UBNT $JNPR $CSCO $FFIV ht…']"
2014-01-16,22.85,22.91,22.629999,22.780001,20.313816,38918100,['I know I missed that $CSCO move too but the 3 gap downs since Aug scared me a bit - if based longer into $20 I may have @IanNelson9']
2014-01-17,22.58,22.780001,22.58,22.74,20.278147,44349100,[]
2014-01-21,22.91,22.950001,22.639999,22.83,20.3584,33423000,"['$CSCO - 2013 Global Tech, Media, And Telecom M&amp;A Up Over 50% From 2012 -&gt; http://t.co/rZDdVZn5pl #stock #stocks #stockaction', 'Should you hold $QLYS $PAA $BRKR $CSCO Goto http://t.co/lJCTR08OFQ', 'Its breaktout time on $CPTS $HDY $BLC $CSCO Click http://t.co/PsKSdDygie', 'Buy or sell?  $ORI $WBCO $CSCO View now http://t.co/Wnl3CJhgfm', 'Are you holding $AIV $ATRNQ $UFFCQ $CSCO Must see http://t.co/FxVe1XTobn']"
