date,open,high,low,close,adj close,volume,tweets
2014-01-02,37.349998,37.400002,37.099998,37.16,33.690468,30632200,"['@BenedictEvans shocking that $MSFT is missing this opportunity', 'RT @ACInvestorBlog: Stocks to Watch for January 2, 2014 http://t.co/cUNSVvvcsA $GURE $IRM $MSFT $RVBD $WYY', 'Dow #Stocks Trend $AXP $UTX $CSCO $KO $HD $DIS $V $IBM $DD $INTC $JPM $UNH $TRV $MRK $MMM $GE $GS $MSFT $CAT  @ http://t.co/TvzJfd0RGT', 'Microsoft Corporation : Microsoft Assigned Patent $MSFT http://t.co/m21LDJJfcp', ""Corporate 'Miserliness' In The United States: The Case Of Microsoft http://t.co/8BoIUrGepD $MSFT #MICROSOFT #WINDOWS"", '$MSFT - [video] Fords Mulally should be frontrunner to lead Microsoft: Expert -&gt; http://t.co/0ziCk85oe8 #stock #stocks #stockaction', ""$MSFT wants to soar with eagles but keeps looking among sparrows to lead? Oncologist, not #SEINFELD's pimple-popping-dermatologist? #CNBC"", 'Following SnapChat.  Skype twitter and blog hacked.  Syrian Electronic Army claims responsibility, attempts to spread anti $MSFT msg', '$MSFT [video] Fiat Takes Full Control of Chrysler, and More http://t.co/4wqy2Nq2Bi']"
2014-01-03,37.200001,37.220001,36.599998,36.91,33.46381,31134800,"['Weekly Dow #Stocks Trend $DIS $WMT $HD $GS $V $INTC $IBM $UTX $VZ $UNH $T $MSFT $AXP $JPM $MRK $CSCO $KO $CVX  @ http://t.co/TvzJfd0RGT', '$MSFT - Microsoft announces quarterly earnings release date and upcoming event... -&gt; http://t.co/o0BoMAZDsV #stock #stocks #stockaction', 'Microsoft Corporation : Researchers Submit Patent Application, ""Techniques to ... $MSFT http://t.co/W3zDiwgCc8']"
2014-01-06,36.849998,36.889999,36.110001,36.130001,32.756634,43603700,"['Rosner: $FB Overall Average: 56% Buy. $CMCSA $NVDA $MSFT http://t.co/mJVcOdifJa', 'The software industry, worth almost $350 billion, grew 6.4% in 2013 http://t.co/0cHcQfEIPd  $MSFT $ORCL $CRM $ADBE', ""$MSFT Microsoft Is A Total Mess Because Of Steve Ballmer, And That's Why No One Wants To Be Its New CEO, Says The WSJ..."", 'RT @sakyaduvvuru: Chromebooks are a double whammy for $MSFT - replaces windows and office', ""RT @WSJ: One reason Microsoft hasn't chosen a new CEO: awkward boardroom dynamics. http://t.co/DoEYvNfbg6 $MSFT"", 'RT @firstadopter: $MSFT Xbox One scalpers forced to sell the console at cost or loss -&gt; 1) http://t.co/5VjFVxDDr7 2) http://t.co/8MxnSjSOlp']"
2014-01-07,36.330002,36.490002,36.209999,36.41,33.010487,35802800,"['$MSFT - Microsoft acquires Parature to add leading customer self-service suite to Microsoft Dynamics CRM http://t.co/1CoMSzgOtg', ""$MSFT - Ford CEO Mulally Won't Leave for Microsoft -AP http://t.co/yqZU2YGown"", 'No $MSFT 797s.. RT @emilyparkhurst: Alan Mulally will not be the next Microsoft CEO, will remain at Ford through 2014 http://t.co/6HyyssQUd7', ""RT @CNBC: Ford CEO Mulally says he won't leave for Microsoft, plans to stay at Ford until 2014 $MSFT $F http://t.co/NCHXD0Z1cR $F""]"
2014-01-08,36.0,36.139999,35.580002,35.759998,32.421169,59971700,"['RT @YahooFinance: Ford’s Alan Mulally won’t be the next Microsoft CEO. Who should replace Steve Ballmer? http://t.co/BAAc6wkobB $F $MSFT', 'Microsoft Corporation : Sheikh Mohammed bin Rashid Smart Learning ... $MSFT http://t.co/8bszogYXFY', '$MSFT Microsoft acquires Parature to add leading customer self-service suite... http://t.co/ytbOefER3y', 'RT @SeekingAlpha: Nokia Can Put Microsoft On The Mobile Map http://t.co/0FaboJlxsp $NOK $MSFT', '$MSFT Microsoft Corporation : Tech Data UK makes email to Office 365 easy for ... http://t.co/msC6qtFB6C', '$F $MSFT $MU $APOL $TCS $RBCN $SPRT On The Fly: After Hours Movers: Full Story http://t.co/21fy23xK2X', 'RT @CNBC: Microsoft will not make CEO decision until February at the earliest. (via @Recode) $MSFT', ""Didn't $HPQ, $MSFT etc. try the Marissa Mayer growth-by-acquisition strategy? $YHOO buys company 'xyz' is like a broken record""]"
2014-01-09,35.880001,35.91,35.400002,35.529999,32.212658,36516300,"['Microsoft Corporation : Where next with Windows? $MSFT http://t.co/hhOWlL5Ejc', 'RT @VanessaAlvarez1: Would be a good move-&gt;Is $MSFT planning on releasing a blade #server? via @kevin_houston http://t.co/MhNOaHKhPv', '$MSFT Why No CEO Hall of Fame? http://t.co/QiXivaakti', ""I'm stepping out of my comfort zone so this better work. I'm doubling my $MSFT long, target $36.20 (for now)."", '$MSFT News Alert:  http://t.co/DcMqCnGPqY  Updated options view: http://t.co/hVajBk0zn9  All options views: http://t.co/pd0CNSWmuL', '@XboxFitness rings opening bell @NASDAQOMX @xbox http://t.co/vrCijiGi1C @Microsoft  Interview coming up. Your questions? $MSFT @bnn #uscomp']"
2014-01-10,35.900002,36.150002,35.75,36.040001,32.675037,40548800,"['@petenajarian @PetesAssistant @CNBCFastMoney $AAPL trading at same multiple as $MSFT - this is purely stupid!', '$MSFT News Alert:  http://t.co/9xOFoxdABD  Updated options view: http://t.co/rZdhS7QWac  All options views: http://t.co/pd0CNSWmuL', '$MSFT IntraLinks Steps Up To The Plate - Because The World Needs Another File Sharing Offering, Right? http://t.co/IVM3kmfcFk']"
2014-01-13,35.990002,36.02,34.830002,34.98,31.714008,45901900,"['Find the next $MSFT $CIA $SUI $CNAT  $SMBL http://t.co/5NdRIMsyZ7', '#Best #Pennystock research $MSFT $MDLZ $CMS $MAT $DAEG $FFCH http://t.co/cbRMgMR01p', 'Get the latest on $MSFT $NWBI $SPCHB $RNDY $NYX $JOUT http://t.co/DKhtEZFwib', 'S&amp;P100 #Stocks Performance $BHI $BMY $AEP $SLB $LOW $SO $HAL $F $MSFT $FCX $CMCSA $MDLZ $ORCL $MON $KO  more@ http://t.co/n4QZIDxy7w', 'Lagging In Post-Market Activity: Microsoft Corporation (MSFT) $MSFT http://t.co/4FgTuI0mne', 'Get #Stock Market Reports on $MSFT $SUSS $FNB $SEB $XRM $SYBT http://t.co/BdJdFpDUWR', '$MSFT - Outlook: Gaming Industry Faces Declining Software Sales -&gt; http://t.co/Q43Os0ajWv #stock #stocks #stockaction', 'Google Set To Challenge Microsoft And Apple In The Connected Car Market $GOOG  $AAPL $MSFT http://t.co/69bOo5V2iz', 'Correction Protection: Better Metric Finds Value http://t.co/fXP33Rt8Bn $GOOG #GOOGLE $CSCO $MSFT $INTC $ORCL $FB $XOM $CVX $SNY $MRK', '$MSFT - 2 Promising Exclusives for Next-Gen Gaming -&gt; http://t.co/V4hab3ootw #stock #stocks #stockaction']"
2014-01-14,34.73,35.880001,34.630001,35.779999,32.439308,41623300,"['@ARENABURSATILUS como ves $MSFT ? podria dar señal de compra en 60, o mañana en diaria.', 'Employee growth at major tech companies in last 3 years.\n$GOOG ~2X\n$AMZN  ~4X\n$APPL   ~2X\n$MSFT   ~1X\n$EBAY   ~2X http://t.co/WaKesKjE3a', 'Why Gamestop Stock Is Crashing http://t.co/wINN7xwi58 $MSFT #MICROSOFT #WINDOWS $RSH $SNE $GME', '$MSFT - Why Gamestop Stock Is Crashing -&gt; http://t.co/TTRVfdwfVO #stock #stocks #stockaction']"
2014-01-15,35.900002,36.790001,35.849998,36.759998,33.327805,44812600,"['RT @puiwingtam: Google outspends top 5 rivals combined - $AAPL, $FB, $MSFT, $YHOO, $AMZN - in deals push, with Nest just the latest. http:/…', 'Fibonacci Technical Levels Update  $LNKD, $MSFT, $NFLX, $TSLA http://t.co/WNHLJKptzg', '$MSFT News Alert:  http://t.co/h5s2Sj39JM  Updated options view: http://t.co/M3VFBTq6B4  All options views: http://t.co/pd0CNSWmuL', 'Microsoft Corp. Downgraded by Citigroup Inc. to Neutral $MSFT http://t.co/Y4fRlHrvQg', '@dbrandib @arrola @juanmacias @nachosomalo @carlosbarrabes $MSFT sí, pero el informe de Forrester huele a chamusquina.', 'Shoud you sell $IIIN $NFLX $DAEG  $MSFT Click http://t.co/S4ArrQcgtq']"
