date,open,high,low,close,adj close,volume,tweets
2014-01-03,37.650002,37.860001,37.560001,37.619999,35.777351,11693900,['$S Showing on my streamers $RAD $JPM $AUY $ORCL $TWTR http://t.co/tNFq6VMEas']
2014-01-06,37.639999,37.799999,37.419998,37.470001,35.634705,15329400,"['The software industry, worth almost $350 billion, grew 6.4% in 2013 http://t.co/0cHcQfEIPd  $MSFT $ORCL $CRM $ADBE']"
2014-01-07,37.66,37.93,37.5,37.849998,35.996086,16792200,[]
2014-01-08,37.790001,37.91,37.560001,37.720001,35.872456,16111600,[]
2014-01-09,37.849998,37.849998,37.459999,37.650002,35.805882,13623500,['Oracle to Buy Carrier SDN Startup Corente via @TheWHIR http://t.co/uD5fK35lSb $ORCL']
2014-01-10,37.75,38.139999,37.59,38.110001,36.243355,15402900,['Wow. Great #Stock #Research on $MTN $ORCL $ALOT $PFBI  Must see http://t.co/73IP7iDQLh']
2014-01-13,37.950001,38.200001,37.700001,37.75,35.90099,20848300,"['S&amp;P100 #Stocks Performance $BHI $BMY $AEP $SLB $LOW $SO $HAL $F $MSFT $FCX $CMCSA $MDLZ $ORCL $MON $KO  more@ http://t.co/n4QZIDxy7w', 'Great #Stock #Research $CLVS $INVN $ORCL $LTRE $WPI $CPGI http://t.co/Y0miTb06zV', 'Correction Protection: Better Metric Finds Value http://t.co/fXP33Rt8Bn $GOOG #GOOGLE $CSCO $MSFT $INTC $ORCL $FB $XOM $CVX $SNY $MRK']"
2014-01-14,37.779999,38.25,37.709999,38.209999,36.338451,13486400,"['What Is The Future Of Enterprise Technology?    http://t.co/XKrG2oiKMY \n$ORCL #SiliconANGLE #Oracle', '$ORCL Oracle Corporation : United States : Molton Brown Launches Mobile Websites ... http://t.co/jMWQpHllf4', 'Get more winners like $ORCL  $CDR $SFNC $SLAB $PGTI http://t.co/f6jMYWWLXt', '$ORCL Citrix Systems, F5 Networks: Cloud Technology Stocks to Watch http://t.co/7NmVERh7Iz']"
2014-01-15,38.200001,38.57,38.119999,38.41,36.528652,17010900,"['In Volatile Markets, Focus On Price http://t.co/TU5Lz4tii2 $ADSK $AET $CHK $QQQ $ORCL']"
2014-01-16,38.389999,38.77,38.169998,38.290001,36.414539,13463000,"['Great #Stock #Research $STSI $TNAV $EAC $ORCL Got to see http://t.co/uGxArpQdmV', 'Looking for winners like $AMTY $FNMA $NTSP  $ORCL Check out http://t.co/ATVV1HRc9j']"
2014-01-17,38.119999,38.470001,38.029999,38.209999,36.338451,14051100,[]
2014-01-21,38.52,38.52,37.799999,38.110001,36.243355,13540000,[]
2014-01-22,38.029999,38.279999,37.950001,37.98,36.119717,14006300,"['Couple of Stocks to Watch $AAON $SNCR $TSN $ORCL Must see http://t.co/b2MSbwgDfo', 'Get the latest on $DHR $PRGS $AXE $ORCL Goto http://t.co/5RNRM78zaE']"
